id,title,Main Story,Main + Extras,Completionist,All Styles,Co-Op,Vs.,Type,Developers,Publishers,Playable On,Genres,NA,EU,JP
+19962,,NA,NA,NA,NA,NA,NA,NA,Red Entertainment,Microsoft Game Studios,NA,Simulation,NA,NA,"April 24, 2003"
+38799,,NA,NA,NA,NA,NA,NA,NA,Stormcloud Games,NA,NA,"Third-Person, Action, Adventure, Roguelike","August 09, 2016","August 09, 2016",NA
+53256,!4RC4N01D!,NA,NA,0.5666666666666667,0.5666666666666667,NA,NA,NA,armogames,armogames,PC,Arcade,"January 12, 2018","January 12, 2018",NA
+53257,!4RC4N01D! 2: Retro Edition,NA,NA,1,1,NA,NA,NA,NA,NA,PC,NA,NA,NA,NA
+54173,!4RC4N01D! 3: Cold Space,NA,NA,1.5,1.5,NA,NA,NA,Armogames,Armogames,PC,Arcade,2018,2018,NA
+55054,!4RC4N01D! 4: KOHBEEP edition,NA,NA,1.5,1.5,NA,NA,NA,NA,NA,PC,NA,NA,NA,NA
+57569,!AnyWay!,NA,NA,2,2,NA,NA,NA,"SGS, GQG Dev",Sgs,PC,NA,"June 06, 2018","June 06, 2018",NA
+57778,!Dead Pixels Adventure!,NA,NA,1.5,1.5,NA,NA,NA,DackPostal,DackPostal Games,PC,"Action, Adventure","June 12, 2018","June 12, 2018",NA
+45549,#Archery,NA,NA,NA,NA,NA,NA,NA,VRUnicorns,Bandello,NA,"Virtual Reality, Sports","December 19, 2017","December 19, 2017",NA
+61322,#CuteSnake,NA,NA,0.2833333333333333,0.2833333333333333,NA,NA,NA,Sunrise9,Sunrise9,PC,NA,"March 13, 2018","March 13, 2018",NA
+62640,#CuteSnake 2,NA,NA,0.26666666666666666,0.26666666666666666,NA,NA,NA,Sunrise9,Sunrise9,PC,NA,"April 20, 2018","April 20, 2018",NA
+56010,#Have a Sticker,NA,NA,0.6,0.6,NA,NA,NA,Red Dolphin Games,VT Publishing,PC,Puzzle,"April 26, 2018","April 26, 2018",NA
+23224,#IDARB,NA,NA,NA,NA,NA,2,NA,Other Ocean,Other Ocean,Xbox One,"Arcade, Platform, Sports","January 30, 2015",NA,NA
+23810,#KillAllZombies,NA,NA,29.5,29.5,NA,NA,NA,BEATSHAPERS,NA,NA,"Top-Down, Action","October 28, 2014",NA,NA
+38791,#SelfieTennis,NA,NA,NA,NA,NA,NA,NA,VRUnicorns,"Bandello, Devolver Digital",PC,"Virtual Reality, Sports","April 01, 2016",NA,NA
+54476,#WarGames,2,3,NA,2.5,NA,NA,NA,Eko,Eko,PC,"On-Rails, Adventure","March 14, 2018","March 14, 2018",NA
+45636,#monstercakes,0.25,NA,0.4,0.36666666666666664,NA,NA,NA,Paleno Games,Paleno Games,PC,NA,"May 05, 2017","May 05, 2017",NA
+40541,$1 Ride,0.6166666666666667,NA,NA,0.6166666666666667,NA,NA,NA,BeHappy Studios,Back To Basics Gaming,PC,Action,"July 28, 2016",NA,NA
+18,'Splosion Man,8,10,18,9,NA,NA,NA,Twisted Pixel Games,Microsoft Games Studios,"Xbox 360, Xbox One","Action, Platformer","July 22, 2009","July 22, 2009",NA
+38074,'n Verlore Verstand,6,NA,NA,6,NA,NA,NA,Skobbejak Games,Skobbejak Games,PC,"Virtual Reality, Adventure","February 01, 2016",NA,NA
+45098,.EXE,NA,NA,NA,NA,NA,NA,NA,Two Man Army Games,Two Man Army Games,NA,"Platform, Roguelike","June 16, 2016","June 16, 2016",NA
+56536,.T.E.S.T: Expected Behaviour,NA,NA,NA,NA,NA,NA,NA,Veslo Games,Veslo Games,NA,Puzzle,"May 03, 2018","May 03, 2018",NA
+12687,.detuned,0.36666666666666664,NA,1.5,1,NA,NA,NA,.theprodukkt,Sony Computer Entertainment,PlayStation 3,Interactive Art,"October 15, 2009","October 15, 2009","September 17, 2009"
+15979,.flow,NA,NA,NA,NA,NA,NA,NA,NA,NA,PC,NA,NA,NA,NA
+48459,.hack//G.U. Last Recode,NA,NA,NA,NA,NA,NA,NA,CyberConnect2,BANDAI NAMCO Entertainment,"PC, PlayStation 4","Compilation, Role-Playing","November 03, 2017","November 03, 2017",NA
+19,.hack//G.U. Vol. 1: Rebirth,20.5,25.5,39,24,NA,NA,NA,CyberConnect2,Bandai,"PC, PlayStation 2, PlayStation 4","Action, Role-Playing","October 24, 2006",NA,"May 18, 2006"
+20,.hack//G.U. Vol. 2: Reminisce,22.5,35.5,50,31,NA,NA,NA,CyberConnect2,Bandai,"PC, PlayStation 2, PlayStation 4","Action, Role-Playing","May 08, 2007",NA,"September 28, 2006"
+21,.hack//G.U. Vol. 3: Redemption,23.5,32.5,48,29,NA,NA,NA,CyberConnect2,Bandai,"PC, PlayStation 2, PlayStation 4","Action, Role-Playing","March 25, 2008",NA,"January 18, 2007"
+50336,.hack//G.U. Vol. 4: Reconnection,2,2.5,5,2.5,NA,NA,NA,CyberConnect2,BANDAI NAMCO Entertainment,"PC, PlayStation 4",Role-Playing,"November 03, 2017",NA,NA
+22,.hack//Infection,18,20.5,28.5,20.5,NA,NA,NA,"CyberConnect2 Co., Ltd.",Bandai S.A.,PlayStation 2,"Action, role-playing","February 11, 2003",NA,NA
+23,.hack//Link,29,49.5,NA,43.5,NA,NA,NA,CyberConnect2,Namco Bandai Games,PSP,Role-Playing,NA,NA,"March 04, 2010"
+24,.hack//Mutation,16.5,21.5,32,21.5,NA,NA,NA,CyberConnect2,Bandai Games,PlayStation 2,"Action, role-playing","May 07, 2003",NA,"September 09, 2002"
+25,.hack//Outbreak,19.5,20,22,20.5,NA,NA,NA,CyberConnect2,Bandai,PlayStation 2,Action RPG,"September 09, 2003","September 10, 2004","December 12, 2002"
+26,.hack//Quarantine,17.5,20.5,24.5,20,NA,NA,NA,CyberConnect2,Bandai,PlayStation 2,Action RPG,"January 20, 2004","December 03, 2004","April 10, 2003"
+22665,.hack//Versus,12,NA,NA,12,NA,NA,NA,NA,NA,NA,Fighting,NA,NA,2012
+62902,.kkrieger,NA,NA,NA,NA,NA,NA,NA,Farbrausch,Farbrausch,PC,"First-Person, Real-Time, Shooter",2004,NA,NA
+57459,.projekt,2.5,NA,3,2.5,NA,NA,NA,Kyrylo Kuzyk,Kyrylo Kuzyk,NA,Puzzle,"March 17, 2018","March 17, 2018",NA
+16852,//N.P.P.D. RUSH//- The milk of Ultraviolet,2,NA,NA,2,NA,NA,NA,Rail Slave Games,Kiss,PC,Action,"February 13, 2014","February 13, 2014",NA
+26968,//SNOWFLAKE TATTOO//,NA,NA,NA,NA,NA,NA,NA,Rail Slave Games,KISS,NA,"Action, Adventure","March 27, 2015",NA,NA
+58146,0 A.D.,NA,NA,NA,NA,NA,NA,NA,Wildfire Games,Wildfire Games,NA,"Real-Time, Strategy","April 01, 2010",NA,NA
+12372,0 Day Attack on Earth,NA,NA,NA,NA,NA,NA,NA,Gulti,Square Enix,NA,Shooter,"December 13, 2009",NA,NA
+64453,005 (1981),NA,NA,NA,NA,NA,NA,NA,SEGA,SEGA,NA,"Top-Down, Action, Adventure, Arcade, Stealth",December 1981,NA,December 1981
+27,007 Legends,6.5,7.5,9,6.5,NA,NA,NA,Eurocom,Activision,"PC, PlayStation 3, Wii U, Xbox 360","First-Person, Shooter","October 16, 2012","October 19, 2012",NA
+28,007 Legends: Skyfall DLC,0.4166666666666667,NA,0.5,0.48333333333333334,NA,NA,DLC/Expansion,Eurocom,Activision,"PC, PlayStation 3, Wii U, Xbox 360","First-Person, Shooter","September 11, 2012",NA,NA
+29,007 Racing,3,NA,NA,3,NA,NA,NA,Eutechnyx,Electronic Arts,PlayStation,Racing,"November 20, 2000","December 15, 2000",NA
+30,007: Licence to Kill,0.8,3,NA,2,NA,NA,NA,Quixel,Domark,NA,"Top-Down, Shooter","April 20, 1989",NA,NA
+37069,007: The Living Daylights,NA,NA,NA,NA,NA,NA,NA,Sculptured Software,Domark,NA,"Scrolling, Action",NA,1987,NA
+10278,007: The World Is Not Enough,4h,8h,8h,5h,NA,NA,NA,"Eurocom, Black Ops",Electronic Arts,"Nintendo 64, PlayStation","First-Person, Shooter","October 17, 2000","December 08, 2000",NA
+31,0D Beat Drop,NA,NA,NA,NA,NA,NA,NA,Arc System Works,NA,NA,"Music, Rhythm, Puzzle","November 11, 2009",NA,NA
+17930,0RBITALIS,2,3.5,13,3.5,NA,NA,NA,Alan Zucconi,NA,PC,Puzzle,"April 16, 2014",NA,NA
+43046,0Space,NA,NA,NA,NA,NA,NA,NA,Teknopants,Teknopants,NA,NA,2011,NA,NA
+59660,0°N 0°W,2,NA,NA,2,NA,NA,NA,Colorfiction,Colorfiction,NA,NA,"March 01, 2018","March 01, 2018",NA
+21789,1 Moment of Time: Silentville,3,3,4.5,3.5,NA,NA,NA,2 Monkeys,Jetdogs Studios,PC,"Adventure, Hidden Object","July 21, 2016",NA,NA
+21829,1 vs. 100,NA,NA,NA,NA,NA,16,NA,Microsoft Game Studios,Microsoft Game Studios,"Nintendo DS, Xbox 360",Party,"November 19, 2009",NA,NA
+38080,"1,000 Heads Among the Trees",0.5666666666666667,0.6,1,0.8666666666666667,NA,NA,NA,Aaron Oldenburg,KISS,PC,"Adventure, Survival Horror","December 11, 2015","December 11, 2015",NA
+45695,1-2-Swift,NA,NA,NA,NA,NA,NA,NA,Mngovr,Pitaya Network Limited,NA,"Virtual Reality, Action, Adventure","January 29, 2017","January 29, 2017",NA
+43478,1-2-Switch,1.5,NA,3.5,1.5,NA,NA,NA,Nintendo EPD,Nintendo,Nintendo Switch,"Action, Party","March 03, 2017",NA,NA
+32,1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby),1,NA,1.5,1.5,NA,NA,NA,Dejobaan Games,Dejobaan Games,PC,Music,"April 01, 2011",NA,NA
+33779,10 Billion Wives,NA,NA,NA,NA,NA,NA,NA,MASUKACHI,NA,iOS,NA,"May 22, 2015",NA,NA
+40598,10 Minute Tower,NA,NA,NA,NA,NA,NA,NA,Team17 Digital Ltd,SEGA,NA,NA,"July 26, 2016",NA,NA
+15035,10 Pin Bowling,NA,NA,3.5,3.5,NA,NA,NA,Morning Star Multimedia,Majesco Sales,NA,Sports,August 1999,1999,NA
+17213,10 Second Ninja,1,2,4,2,NA,NA,NA,GameDesignDan,Mastertronic,PC,Action,"March 05, 2014",NA,NA
+38775,10 Second Ninja X,2,7.5,21,4,NA,NA,NA,Four Circle Interactive,Curve Digital,"PC, PlayStation 4, PlayStation Vita, Xbox One","Action, Platform","July 19, 2016",NA,NA
+58165,10 Second Run Returns,NA,NA,NA,NA,NA,NA,NA,Blue Print,Blue Print,NA,Action,NA,"February 22, 2018",NA
+24134,10 Years After,NA,NA,NA,NA,NA,NA,NA,TenTreeGames,TenTreeGames,NA,"Action, Adventure","January 30, 2015",NA,NA
+23801,"10,000 Bullets",4,20,NA,5.5,NA,NA,NA,Blue Moon Studio,Taito,PlayStation 2,"Third-Person, Shooter",NA,"October 06, 2005",NA
+34,10-Yard Fight,0.35,0.6833333333333333,1.5,1,NA,NA,NA,Irem,Irem,NES,Sports,1983,NA,December 1983
+28844,10-in-1: Arcade Collection,NA,NA,NA,NA,NA,NA,NA,Gamelion,Gamelion,NA,Arcade,"August 15, 2013",NA,NA
+35,100 All-Time Favorites,NA,15.5,NA,15.5,NA,NA,NA,NA,Ubisoft,NA,"Card Game, Puzzle",NA,NA,NA
+36,100 Rogues,NA,NA,NA,NA,NA,NA,NA,Dinofarm Games,Fusion Reactions,NA,Roguelike,"May 04, 2010",NA,NA
+16627,100% Orange Juice,7,25,70.5,19.5,NA,NA,NA,Orange_Juice,Fruitbat Factory,PC,Board Game,"September 10, 2013",NA,NA
+37,1000 Amps,4,4,5,4.5,NA,NA,NA,Brandon Brizzi,Brandon Brizzi,PC,"Adventure, Platform, Puzzle","February 22, 2012",NA,NA
+13469,1000 Heroz,NA,NA,NA,NA,NA,NA,NA,RedLynx,RedLynx,NA,"Platform, Puzzle","June 08, 2011",NA,NA
+17582,1000 Tiny Claws,4,NA,NA,4,NA,NA,NA,Mediatonic,Mediatonic,NA,Action,NA,NA,NA
+38,10000000,6,7.5,8.5,7,NA,NA,NA,EightyEight Games,EightyEight Games,"Mobile, PC","Puzzle, Role-Playing","August 29, 2012",NA,NA
+19077,1001 Spikes,7,11.5,15.5,10,NA,NA,NA,8bits Fanatics,Nicalis,"PC, PlayStation 4, PlayStation Vita, Xbox One",Platform,"June 03, 2014","June 03, 2014",NA
+40497,100ft Robot Golf,4,NA,NA,4,NA,NA,NA,No Goblin,No Goblin,"PC, PlayStation 4","Third-Person, Virtual Reality, Real-Time, Action, Sports","October 10, 2016",NA,NA
+40891,101 Ways to Die,9,NA,NA,9,NA,NA,NA,4 Door Lemon,4 Door Lemon Vision 1,NA,"Action, Strategy","March 18, 2016",NA,NA
+39,101-in-1 Explosive Megamix,NA,NA,20,20,NA,NA,NA,Nordcurrent,Atlus,Nintendo DS,Various,"April 21, 2009","November 28, 2008",NA
+24943,101-in-1 Party Megamix,NA,NA,NA,NA,NA,NA,NA,Nordcurrent,"Atlus, Nordcurrent",NA,Party,"October 27, 2009",NA,NA
+40,102 Dalmatians: Puppies to the Rescue,6.5,7.5,8.5,7.5,NA,NA,NA,"Crystal Dynamics, Toys for Bob",Eidos Interactive,"Dreamcast, Game Boy Color, PC, PlayStation","Action, Platformer","November 15, 2000",NA,NA
+63282,103,0.5833333333333334,0.7666666666666667,0.8666666666666667,0.75,NA,NA,NA,Dystopia Interactive,Dystopia Interactive,PC,"First-Person, Adventure","December 21, 2018","December 21, 2018",NA
+41,1080 Snowboarding,3,7,11.5,5,NA,NA,NA,Nintendo EAD,Nintendo,"Nintendo 64, Wii, Wii U",Racing,"April 01, 1998",NA,"February 28, 1998"
+42,1080° Avalanche,4.5,8.5,18.5,9,NA,NA,NA,NST,Nintendo,Nintendo GameCube,"Arcade, Sports","December 01, 2003",NA,"January 22, 2004"
+62277,11-11 Memories Retold,5,6,8.5,5.5,NA,NA,NA,"Aardman Animations, Digixart",BANDAI NAMCO Entertainment Europe,"PC, PlayStation 4, Xbox One",NA,"November 08, 2018","November 08, 2018",NA
+45668,1166,1.5,NA,NA,1.5,NA,NA,NA,Predator Productions,Predator Productions,NA,"Action, Adventure","April 02, 2017","April 02, 2017",NA
+15025,1187: Episode 1,6,NA,7,6.5,NA,NA,NA,NA,1187 Team,NA,"First-Person, Shooter","October 18, 2010",NA,NA
+43,11eyes CrossOver,NA,NA,NA,NA,NA,NA,NA,Lass,5pb.,NA,Visual Novel,NA,NA,"April 02, 2009"
+44,11eyes ~Tsumi to Batsu to Aganai no Shoujo~,NA,NA,NA,NA,NA,NA,NA,Lass,"M-trix, Lass, 5pb.",PC,Visual Novel,NA,NA,"April 05, 2008"
+18104,12 Labours of Hercules,6,6.5,7,6.5,NA,NA,NA,Jetios,NA,PC,Simulation,"October 30, 2013",NA,NA
+26959,12 Labours of Hercules II: The Cretan Bull,5.5,7,8.5,7,NA,NA,NA,"Jetdogs Studios, Zoom Out Games",Jetdogs Studios,PC,Strategy,"June 02, 2015",NA,NA
+29286,12 Labours of Hercules III: Girl Power,5.5,6.5,9,7,NA,NA,NA,"Jetdogs Studios, Zoom Out Games",Jetdogs Studios,PC,Strategy,"August 07, 2015",NA,NA
+34053,12 Labours of Hercules IV: Mother Nature,7,7,8.5,8,NA,NA,NA,"Jetdogs Studios, Zoom Out Games",Jetdogs Studios,PC,Strategy,"December 25, 2015",NA,NA
+38220,12 Labours of Hercules V: Kids of Hellas,6.5,8,11,9,NA,NA,NA,"Jetdogs Studios, Zoom Out Games",Jetdogs Studios,PC,NA,"June 17, 2016",NA,NA
+43884,12 Labours of Hercules VI: Race for Olympus,9,10,10,10,NA,NA,NA,"Jetdogs Studios, Zoom Out Games",Jetdogs Studios,PC,Strategy,"December 20, 2016",NA,NA
+60891,12 Labours of Hercules VII: Fleecing the Fleece,9,9,9,9,NA,NA,NA,"Jetdogs Studios, Zoom Out Games",Jetdogs Studios,PC,Strategy,"January 12, 2018","January 12, 2018","January 12, 2018"
+67511,12 Labours of Hercules VIII: How I Met Megara,NA,6.5,NA,6.5,NA,NA,NA,"Jetdogs Studios, Zoom Out Games",Jetdogs Studios,NA,Strategy,"December 26, 2018","December 26, 2018",NA
+43511,12 Orbits,NA,NA,NA,NA,NA,NA,NA,Roman Uhlig,Roman Uhlig,PC,NA,"October 24, 2016","October 24, 2016",NA
+25033,12 is Better Than 6,4.5,5.5,7,5.5,NA,NA,NA,Ink Stains Games,Pinkapp Games,PC,"Top-Down, Shooter","November 20, 2015",NA,NA
+26454,1213: Special Edition,2.5,4.5,NA,3.5,NA,NA,NA,"Ben ""Yahtzee"" Croshaw",N/A,PC,"Third-Person, Adventure, Platform, Survival Horror",2006,NA,NA
+32238,123 Slaughter Me Street,NA,NA,NA,NA,NA,NA,NA,Impulse Game Studios,"Nate Sanders, John Kolbek",NA,Action,"September 28, 2015",NA,NA
+43660,123 Slaughter Me Street 2,NA,NA,NA,NA,NA,NA,NA,"Nate Sanders, John Kolbek",Impulse Game Studios,NA,"Action, Adventure","October 31, 2016",NA,NA
+64590,13 Cycles,NA,NA,NA,NA,NA,NA,NA,Acalamity,Acalamity,NA,NA,"June 06, 2018","June 06, 2018",NA
+14421,140,1,2,5,1.5,NA,NA,NA,Jeppe Carlsen,NA,PC,"Music/Rhythm, Platform","October 16, 2013",NA,NA
+14999,14px,NA,NA,NA,NA,NA,NA,NA,Drummer Games,NA,NA,Platform,NA,NA,NA
+46,15 Days,6.5,7,8,7,NA,NA,NA,House of Tales Entertainment,"Lace Mamba Global, dtp entertainment",PC,"Adventure, Role-Playing",NA,"June 25, 2010",NA
+48830,15 Defense,NA,NA,NA,NA,NA,NA,NA,LiMAVR,Atriagames,NA,NA,"April 01, 2017","April 01, 2017",NA
+61064,15 seconds,NA,NA,NA,NA,NA,NA,NA,Studio 48,Studio 48,NA,"Top-Down, Action","May 31, 2018","May 31, 2018",NA
+58421,"150,000 B.C.",0.25,NA,0.25,0.25,NA,NA,NA,"Online Vision, carrot",Garage Games,PC,Platform,"May 30, 2018","May 30, 2018",NA
+28665,16 Bit Arena,NA,NA,NA,NA,NA,NA,NA,16bitarena.com,16bitarena.com,NA,"Turn-Based, Role-Playing","March 24, 2015",NA,NA
+26964,16bit Trader,NA,NA,14.5,14.5,NA,NA,NA,Forever Entertainment,Forever Entertainment,PC,Simulation,"June 04, 2015",NA,NA
+56205,1775: Rebellion,NA,NA,NA,NA,NA,NA,NA,HexWar Games,HexWar Games,NA,Strategy,"September 29, 2016","September 29, 2016",NA
+58441,18 Floors,NA,NA,NA,NA,NA,NA,NA,Aoga Tech,Shanghai Wishing Entertainment,NA,"Virtual Reality, Puzzle","July 03, 2018","July 03, 2018",NA
+48,18 Wheeler: American Pro Trucker,1,NA,2,1,NA,NA,NA,Sega-AM2,"Sega, Acclaim","Dreamcast, PlayStation 2","Action, Racing","May 25, 2001","June 01, 2001","October 12, 2000"
+36595,18 Wheels of Steel: Across America,20,NA,NA,20,NA,NA,NA,"SCS Software, Sunstorm Interactive","Retroism, ValuSoft",PC,Simulation,"September 23, 2003",NA,NA
+50,18 Wheels of Steel: American Long Haul,20,NA,NA,20,NA,NA,NA,SCS Software,ValuSoft,PC,"Racing, Simulation","December 03, 2007",NA,NA
+45704,18 Wheels of Steel: Convoy,15,NA,NA,15,NA,NA,NA,SCS Software,"Retroism, ValuSoft",NA,Simulation,"September 01, 2005","September 02, 2016",NA
+26226,18 Wheels of Steel: Extreme Trucker,NA,NA,NA,NA,NA,NA,NA,NA,ValuSoft,PC,Simulation,"September 23, 2009",NA,NA
+13473,18 Wheels of Steel: Extreme Trucker 2,NA,13,NA,13,NA,NA,NA,ValuSoft,THQ,PC,"Racing, Simulation",NA,NA,NA
+44175,18 Wheels of Steel: Haulin',NA,NA,NA,NA,NA,NA,NA,SCS Software,"Retroism, ValuSoft",NA,Simulation,"December 08, 2006","December 08, 2006",NA
+36596,18 Wheels of Steel: Pedal to the Metal,NA,18,25,19.5,NA,NA,NA,SCS Sortware,ValuSoft,PC,"First-Person, Third-Person, Multidirectional, Real-Time, Adventure, Open World, Racing, Sandbox, Simulation","August 30, 2004","August 30, 2004",NA
+61505,18+,NA,NA,0.25,0.25,NA,NA,NA,КиКо,КиКо,PC,Puzzle,"July 03, 2018","July 03, 2018",NA
+58063,1812: The Invasion of Canada,NA,NA,NA,NA,NA,NA,NA,HexWar Games,HexWar Games,NA,"Turn-Based, Strategy","August 04, 2017","August 04, 2017",NA
+17620,1849,12,15,18,14,NA,NA,NA,SomaSim,SomaSim,PC,Simulation,"May 08, 2014",NA,NA
+31205,1869,NA,NA,NA,NA,NA,NA,NA,Max Design,Max Design,NA,"Point-and-Click, Strategy",NA,1992,NA
+20001,187 Ride or Die,NA,NA,NA,NA,NA,NA,NA,Ubisoft,Ubisoft,Xbox,"Action, Racing","August 25, 2003","August 25, 2005",NA
+20947,1893: A World's Fair Mystery,NA,NA,NA,NA,NA,NA,NA,Peter Nepstad,NA,NA,Interactive Art,"April 24, 2003",NA,NA
+49572,1912: Titanic Mystery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hidden Object,NA,NA,NA
+46504,1914: Prelude to Chaos,15,NA,NA,15,NA,NA,NA,Amaterasu Software,Amaterasu Software,NA,Role-Playing,"May 08, 2017","May 08, 2017",NA
+51,1916 - Der unbekannte Krieg,0.25,NA,0.4166666666666667,0.3,NA,NA,NA,DADIU,DADIU,PC,"Action, Adventure",NA,NA,NA
+40946,1917 - The Alien Invasion,2,NA,NA,2,NA,NA,NA,Andrade Games,OtakuMaker.com,PC,"Top-Down, Scrolling, Shooter","June 10, 2016","June 10, 2016",NA
+52,1924,0.25,NA,NA,0.25,NA,NA,NA,NA,NA,Browser,"Action, Platform",NA,NA,NA
+17360,1931: Scheherazade at the Library of Pergamum,10.5,NA,NA,10.5,NA,NA,NA,Black Chicken Studios,Black Chicken Studios,PC,Visual Novel,"March 26, 2015",NA,NA
+14249,1941: Counter Attack,0.5166666666666667,NA,2,0.6166666666666667,NA,NA,NA,Capcom,Capcom,"Arcade, PlayStation 2","Scrolling, Shooter",February 1992,NA,NA
+54,1942,2,3.5,4,2.5,NA,NA,NA,Capcom,Capcom,"Arcade, NES",NA,December 1984,NA,NA
+55,1942: Joint Strike,1.5,NA,NA,1.5,NA,NA,NA,Backbone Entertainment,Capcom,"PlayStation 3, Xbox 360",Vertical scrolling shooter,"July 23, 2008","July 23, 2008",NA
+28327,1942: The Pacific Air War,NA,NA,11,11,NA,NA,NA,MicroProse,MicroProse,NA,Flight Combat,1994,NA,NA
+39363,1943 Kai,0.5833333333333334,NA,NA,0.5833333333333334,NA,NA,NA,Capcom,Capcom,NA,"Scrolling, Shooter",NA,NA,"June 01, 1988"
+56,1943: The Battle of Midway,3,NA,NA,3,NA,NA,NA,Capcom,Capcom,NES,"Top-Down, Scrolling, Arcade",June 1987,NA,June 1988
+57,1944: The Loop Master,0.7833333333333333,0.8166666666666667,NA,0.8,NA,NA,NA,8ing/Raizing,Capcom,Arcade,Scrolling Shooter,"June 20, 2000",NA,"June 20, 2000"
+22507,1945k III,NA,0.38333333333333336,NA,0.38333333333333336,NA,NA,NA,NA,NA,NA,"Scrolling, Shooter",1993,NA,NA
+13961,1953 - KGB Unleashed,2.5,2.5,3,2.5,NA,NA,NA,United Independent Entertainment,NA,PC,"First-Person, Adventure","September 20, 2013",NA,NA
+23501,1953: NATO vs Warsaw Pact,NA,NA,NA,NA,NA,NA,NA,Wastelands Interactive,Wastelands Interactive,NA,"Turn-Based, Strategy","November 11, 2014",NA,NA
+16342,1954: Alcatraz,5.5,6,7.5,6.5,NA,NA,NA,"Daedalic Entertainment, Irresponsible Games",Daedalic Entertainment,PC,"Point-and-Click, Adventure","March 11, 2014",NA,NA
+44516,1979 Invasion Earth,NA,NA,NA,NA,NA,NA,NA,Jonni Hirst,Jonni Hirst,NA,"Action, Adventure","January 19, 2017","January 19, 2017",NA
+36527,1979 Revolution: Black Friday,2,3,4.5,2.5,NA,NA,NA,"iNK Stories, N-Fusion Interactive",iNK Stories,"Android, iOS, Nintendo Switch, PC, PlayStation 4",Adventure,"April 04, 2016",NA,NA
+46883,1982,NA,NA,NA,NA,NA,NA,NA,"Binary Zoo, The Game Creators",The Game Creators,NA,Action,"June 28, 2017","June 28, 2017",NA
+57338,198X,NA,NA,NA,NA,NA,NA,NA,Hi-Bit Studios,Hi-Bit Studios,NA,Beat 'em Up,"June 20, 2019","June 20, 2019",NA
+58,1991 Du Ma Racing,NA,NA,NA,NA,NA,NA,NA,Idea-Tek,Super Mega,NA,Sports,NA,NA,1991
+37158,1993 Space Machine,3,5,20,3.5,NA,NA,NA,Modesty,Modesty,PC,"Scrolling, Shooter","March 28, 2016","March 28, 2016","March 28, 2016"
+23584,199X,2,2,2.5,2,NA,NA,NA,NA,NA,PC,Adventure,"December 11, 2014",NA,NA
+59,19XX: The War Against Destiny,0.5833333333333334,NA,4,0.85,NA,NA,NA,Capcom,Capcom,"Arcade,","Scrolling, Shooter","December 07, 1996","December 18, 1995","December 25, 1995"
+21846,1HEART,3.5,4,4.5,3.5,NA,NA,NA,Chicken in The Corn,Chicken in The Corn,PC,"Point-and-Click, Puzzle","October 10, 2014",NA,NA
+20676,1Quest,2,NA,NA,2,NA,NA,NA,Ratz 'N' Godz,NA,PC,Roguelike,NA,NA,NA
+23103,1Xtreme,0.5833333333333334,3,NA,2,NA,NA,NA,Sony Interactive Studios America,SCEA,PlayStation,Racing,"September 09, 1995",NA,NA
+30161,1bitheart,5.5,5.5,9,7.5,NA,NA,NA,Miwashiba,Miwashiba,PC,Adventure,"August 28, 2017","August 28, 2017",NA
+26944,2 Fast 4 Gnomz,NA,9,NA,9,NA,NA,NA,Qubic Games,Qubic Games,Nintendo 3DS,NA,"February 23, 2012",NA,NA
+46707,2 Ninjas 1 Cup,NA,NA,NA,NA,NA,NA,NA,Vogelfänger,Vogelfänger,NA,Platform,"February 03, 2017","February 03, 2017",NA
+50359,2 Planets: Fire and Ice,NA,NA,NA,NA,NA,NA,NA,Rokaplay,Rokaplay,NA,Strategy,"August 07, 2017","August 07, 2017",NA
+14938,2 Sectors (Doom 2 WAD),0.6833333333333333,NA,NA,0.6833333333333333,NA,NA,Mod,NA,NA,NA,"First-Person, Shooter","July 31, 2005",NA,NA
+65294,20 Minute Metropolis,0.36666666666666664,NA,NA,0.36666666666666664,NA,NA,NA,Dejobaan Games,NA,PC,City-Building,March 2019,NA,NA
+31314,200% Mixed Juice!,5,6,6.5,6,NA,NA,NA,Orange_Juice,Fruitbat Factory,PC,"Turn-Based, Role-Playing","October 23, 2015","October 23, 2015",NA
+47162,2000:1: A Space Felony,1,1,1,1,NA,NA,NA,National Insecurities,NA,PC,NA,"July 07, 2017",NA,NA
+47167,2001:1: A Space Felony,NA,NA,NA,NA,NA,NA,NA,National Insecurities,National Insecurities,PC,NA,July 2017,NA,NA
+36129,2002 FIFA World Cup,NA,NA,NA,NA,NA,NA,NA,EA Canada,EA Sports,"Nintendo GameCube, PC","Simulation, Sports","April 22, 2002",NA,NA
+15162,2006 FIFA World Cup,NA,NA,NA,NA,NA,NA,NA,EA Canada,EA Sports,"PC, PSP, Xbox 360",Sports,"April 24, 2006",NA,NA
+60,2010 FIFA World Cup South Africa,NA,NA,NA,NA,NA,NA,NA,"EA Canada, HB Studios",EA Sports,"PlayStation 3, Wii, Xbox 360",Sports,"April 27, 2010","April 30, 2010",NA
+25489,2013: Infected Wars,5,NA,NA,5,NA,NA,NA,Action Mobile Games,NA,PlayStation Vita,Shooter,"March 24, 2015",NA,NA
