id,title,Main Story,Main + Extras,Completionist,All Styles,Co-Op,Vs.,Type,Developers,Publishers,Playable On,Genres,NA,EU,JP
+23908,Black Viper: Sophia's Fate,NA,NA,NA,NA,NA,NA,NA,"Microids, TiconBlu",Gravity Europe,PC,Hidden Object,"September 05, 2014",NA,NA
+17784,Black/Matrix,NA,NA,NA,NA,NA,NA,NA,Flight Plan,Interchannel,NA,"Role-Playing, Tactical",NA,NA,"August 27, 1998"
+19604,Black/Matrix AD,NA,NA,NA,NA,NA,NA,NA,Flight-Plan,InterChannel,NA,"Role-Playing, Strategy",NA,NA,1999
+17785,Black/Matrix II,NA,NA,NA,NA,NA,NA,NA,Flight Plan,InterChannel,NA,"Role-Playing, Tactical",NA,NA,"March 28, 2002"
+20458,BlackShadows,NA,NA,0.4166666666666667,0.4166666666666667,NA,NA,NA,IceGames,NA,PC,"Adventure, Survival Horror","July 13, 2014",NA,NA
+38512,BlackShot,NA,NA,NA,NA,NA,NA,NA,Vertigo Games America,Vertigo Games America,NA,"First-Person, Shooter","May 31, 2016",NA,NA
+1107,BlackSite: Area 51,5.5,6,6.5,6,NA,NA,NA,Midway Studios Austin,Midway,"PC, PlayStation 3, Xbox 360","First-Person, Shooter","November 12, 2007","November 30, 2007",NA
+40380,BlackSmith HIT,0.25,NA,2,1,NA,NA,NA,ENTERi,Forever Entertainment,PC,NA,"August 05, 2016",NA,NA
+14277,BlackSoul,15,15.5,25,16.5,NA,NA,NA,Xenios Vision,NA,PC,Survival Horror,NA,NA,NA
+1108,BlackStone: Magic & Steel,NA,5.5,NA,5.5,NA,NA,NA,Idea Factory,Xicat Interactive,Xbox,Role-Playing,"March 19, 2003",NA,NA
+13634,Blackbar,1.5,NA,1.5,1.5,NA,NA,NA,Neven Mrgan,NA,iOS,Puzzle,NA,NA,NA
+21012,Blackbay Asylum,5,7.5,NA,5.5,NA,NA,NA,TAD Productions,KISS,PC,Adventure,August 2014,NA,NA
+52365,Blackberry Honey,3,7.5,10.5,7.5,NA,NA,NA,Ebi-hime,Sekai Project,PC,Visual Novel,"October 24, 2017","October 24, 2017",NA
+46444,Blackbox,NA,NA,NA,NA,NA,NA,NA,Ryan McLeod,NA,NA,Puzzle,"February 25, 2016",NA,NA
+52210,Blackfaun,NA,NA,NA,NA,NA,NA,NA,Wild Guess Software,Wild Guess Software,NA,"Action, Role-Playing","October 26, 2016","October 26, 2016",NA
+14481,Blackguards,43,43.5,48.5,44,NA,NA,NA,Daedalic Entertainment,Daedalic Entertainment,PC,"Turn-Based, Role-Playing, Strategy","January 22, 2014",NA,"January 22, 2014"
+23218,Blackguards 2,NA,23,27.5,24.5,NA,NA,NA,Daedalic Entertainment,Daedalic Entertainment,PC,"Turn-Based, Role-Playing, Strategy","January 20, 2015",NA,NA
+29378,Blackguards: Untold Legends,NA,NA,NA,NA,NA,NA,DLC/Expansion,Daedalic Entertainment,Daedalic Entertainment,PC,"Role-Playing, Strategy","March 04, 2014",NA,NA
+21163,Blackhole,22.5,25.5,40,27.5,NA,NA,NA,FiolaSoft Studio,FiolaSoft Studio,PC,Platform,"February 27, 2015",NA,NA
+25459,Blackjack (1977),NA,NA,NA,NA,NA,NA,NA,Atari,Atari,NA,Card Game,1977,NA,NA
+61073,Blackjack In Space,NA,NA,0.4666666666666667,0.4666666666666667,NA,NA,NA,JDRumble,JDRumble,NA,Card Game,"February 27, 2018","February 27, 2018",NA
+1105,Blacklight: Retribution,NA,NA,NA,NA,10.5,29,NA,Zombie Studios,Perfect World Entertainment,"PC, PlayStation 4","First-Person, Shooter","April 03, 2012",NA,NA
+1106,Blacklight: Tango Down,2.5,NA,NA,2.5,NA,NA,NA,Zombie Studios,Ignition Entertainment,PC,First-person shooter,"July 07, 2010","July 07, 2010",NA
+65983,Blacksad: Under the Skin,NA,NA,NA,NA,NA,NA,NA,"Pendulo Studios, YS Interactive",Microids,NA,NA,"September 20, 2019","September 20, 2019",NA
+38513,Blacksea Odyssey,NA,NA,NA,NA,NA,NA,NA,Blacksea Odyssey,Blacksea Odyssey,NA,"Multidirectional, Shooter","June 01, 2016",NA,NA
+63332,Blacksmith (2018),NA,NA,NA,NA,NA,NA,NA,Otis Miller,Otis Miller,NA,Simulation,"April 11, 2018","April 11, 2018",NA
+58641,Blackstar: Agent of Justice,NA,NA,NA,NA,NA,NA,NA,Worwyk,Worwyk,NA,Adventure,1995,NA,NA
+1109,Blackthorne,6h,11h,3h,6h,NA,NA,NA,"Blizzard Entertainment, Paradox Development (32X conversion), Mass Media Inc. (GBA version)","Interplay, MacPlay (Mac version), Blizzard Classic Arcade (GBA port)","PC, Sega 32X, Super Nintendo",NA,1994,1994,NA
+43759,Blackwake,NA,NA,NA,NA,NA,NA,NA,Mastfire Studios,Mastfire Studios,PC,"First-Person, Shooter","February 24, 2017",NA,NA
+1110,Blackwater,2,NA,NA,2,NA,NA,NA,Zombie Studios,505 Games,Xbox 360,"First-Person, Shooter","October 25, 2011","November 04, 2011",NA
+46842,Blackwater Bayou VR,NA,NA,NA,NA,NA,NA,NA,Virtual Rage Studios,Virtual Rage Studios,NA,Role-Playing,"January 13, 2017","January 13, 2017",NA
+1111,Blackwell Convergence,3,3.5,4,3,NA,NA,NA,Wadjet Eye Games,Wadjet Eye Games,PC,Adventure,"July 22, 2009","January 13, 2012",NA
+1112,Blackwell Deception,4.5,4.5,6,5,NA,NA,NA,Wadjet Eye Games,Wadjet Eye Games,PC,Adventure,"October 12, 2011","January 13, 2012",NA
+18013,Blackwell Epiphany,6,7,12,7,NA,NA,NA,Wadjet Eye Games,Wadjet Eye Games,PC,Adventure,"April 24, 2014",NA,NA
+1113,Blackwell Legacy,3,3,4,3,NA,NA,NA,Wadjet Eye Games,Wadjet Eye Games,"Android, iOS, Linux, Mac, PC",Adventure,"December 23, 2006","January 13, 2012",NA
+1114,Blackwell Unbound,2.5,2.5,4,2.5,NA,NA,NA,Wadjet Eye Games,Wadjet Eye Games,"iOS, Linux, Mac, PC","Adventure, Indie","September 04, 2007","September 04, 2007",NA
+44240,Blackwood Crossing,2,2.5,2.5,2,NA,NA,NA,PaperSeven,Vision Games Publishing,"PC, PlayStation 4, Xbox One",Adventure,"April 05, 2017",NA,NA
+13149,Blade,4.5,7,9,7,NA,NA,NA,Hammerhead,Activision,PlayStation,Beat 'em Up,"November 20, 2000","December 08, 2000",NA
+41631,Blade & Bones,NA,8,NA,8,NA,NA,NA,Coffee Addict Studio,Coffee Addict Studio,PC,"Adventure, Role-Playing","November 30, 2016",NA,NA
+63342,Blade & Sorcery,NA,NA,NA,NA,NA,NA,NA,WarpFrog,WarpFrog,NA,"Virtual Reality, Action","December 11, 2018","December 11, 2018",NA
+33754,Blade & Soul,NA,NA,NA,NA,240,1000,NA,Team Bloodlust,NCSOFT,PC,"Massively Multiplayer, Role-Playing","January 19, 2016",NA,NA
+1115,Blade & Sword,NA,NA,NA,NA,NA,NA,NA,Pixel Studio,Whiptail Interactive,NA,"Action, Role-Playing","December 22, 2003","December 12, 2003","December 19, 2003"
+43292,Blade Arcus from Shining: Battle Arena,NA,NA,NA,NA,NA,NA,NA,Studio Saizensen,Studio Saizensen,"PC, PlayStation 4",Fighting,"July 28, 2016","July 28, 2016",NA
+40997,Blade Ballet,NA,NA,NA,NA,NA,NA,NA,DreamSail Games,DreamSail Games,NA,Action,"August 09, 2016",NA,NA
+1117,Blade Dancer: Lineage of Light,28.5,NA,30,29.5,NA,NA,NA,Hit Maker,"JP: SCEI, NA: NIS America, EU: Ignition Entertainment",PSP,Role-Playing,"July 18, 2006","February 09, 2007","March 02, 2006"
+26531,Blade Eagle 3-D,NA,NA,NA,NA,NA,NA,NA,Sega,Sega,NA,"On-Rails, Shooter","December 31, 1988",NA,NA
+22037,Blade Force,NA,NA,NA,NA,NA,NA,NA,Studio 3DO,3DO Company,NA,"Third-Person, Action",1995,NA,NA
+13824,Blade II,NA,7,NA,7,NA,NA,NA,Mucky Foot Productions,Activision,Xbox,"Action, Beat 'em Up","September 02, 2002","September 27, 2002",NA
+1119,Blade Kitten,5,8,12,6.5,NA,NA,NA,Krome Studios,Atari,"PC, PlayStation 3, Xbox 360","Platformer, Side-scroller","September 22, 2010",NA,NA
+26914,Blade Kitten: Episode 2,2,4,NA,3,NA,NA,DLC/Expansion,Krome Studios,Krome Studios,PC,"Action, Adventure","March 16, 2015",NA,NA
+49804,Blade Master,NA,NA,0.55,0.55,NA,NA,NA,Irem,Irem,NA,"Side, Scrolling, Beat 'em Up",NA,NA,1991
+1121,Blade Runner (1997),9.5,13.5,21.5,13,NA,NA,NA,Westwood Studios,Virgin Interactive Entertainment,PC,Adventure,"November 21, 1997","November 21, 1997",NA
+52201,Blade Runner 9732,NA,NA,NA,NA,NA,NA,NA,Quentin Lengele,Quentin Lengele,PC,"Virtual Reality, Adventure","January 07, 2018","January 07, 2018",NA
+60268,Blade Strangers,2,NA,NA,2,NA,NA,NA,Studio Saizensen,Nicalis,Nintendo Switch,Fighting,"August 28, 2018","August 28, 2018",NA
+15994,Blade Symphony,NA,NA,NA,NA,NA,NA,NA,Puny Human Games,Puny Human Games,PC,"Third-Person, Action, Fighting",NA,NA,NA
+25623,Blade Warrior (1991),NA,NA,NA,NA,NA,NA,NA,Image Works,Image Works,NA,Beat 'em Up,1991,NA,NA
+54585,Blade Warrior (1996),NA,NA,NA,NA,NA,NA,NA,Phantagram,NA,NA,Action,1996,NA,NA
+63192,Bladed Fury,4,5,10,4.5,NA,NA,NA,NEXT Studios,NEXT Studios,PC,NA,"December 18, 2018","December 18, 2018",NA
+12031,Blades of Avernum,NA,NA,NA,NA,NA,NA,NA,Spiderweb Software,NA,NA,Role-Playing,June 2004,NA,NA
+17789,Blades of Exile,NA,NA,NA,NA,NA,NA,NA,Spiderweb Software,Spiderweb Software,NA,Role-Playing,"December 16, 1997",NA,NA
+1123,Blades of Steel,1.5,NA,NA,1.5,NA,NA,NA,Konami,Konami,"Game Boy, NES/Famicom",Sports,1987,1987,NA
+42117,Blades of Thunder,NA,2,NA,2,NA,NA,NA,Interactive Vision,Summitsoft,NA,"Top-Down, On-Rails, Action","February 23, 2005",NA,NA
+1124,Blades of Time,9,10,12.5,10,NA,NA,NA,Gaijin Entertainment,Konami,"PC, PlayStation 3, Xbox 360","Action, Adventure","March 06, 2012","March 16, 2012","March 08, 2012"
+17611,Blades of Time - Dismal Swamp DLC,0.9,NA,NA,0.9,NA,NA,DLC/Expansion,Gaijin Entertainment,Konami,PC,"Action, Adventure","April 20, 2012",NA,NA
+23631,Blades of Vengeance,8,NA,NA,8,NA,NA,NA,Beam Software,Electronic Arts,NA,Platform,1993,NA,NA
+22837,Blades of the Righteous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strategy,NA,NA,NA
